20MICRONS,20200513,27.65,27.65,25.65,26.2,81881
21STCENMGM,20200513,10.4,10.4,10.25,10.25,11
3IINFOTECH,20200513,1.55,1.55,1.55,1.55,288167
3MINDIA,20200513,18899,18899,18251.1,18316.3,2267
3PLAND,20200513,5.4,5.4,5.4,5.4,200
5PAISA,20200513,158,160,150.5,152,24774
63MOONS,20200513,56.1,56.1,53.5,55.7,15556
A2ZINFRA,20200513,3.8,3.95,3.65,3.85,222103
AARTIDRUGS,20200513,778,780.8,761.7,764.45,38310
AARTIIND,20200513,1070.5,1070.5,1025,1029.95,271164
AARVEEDEN,20200513,8.85,9.1,8.6,8.9,6179
AAVAS,20200513,1024,1030.75,940.8,977.5,72448
ABAN,20200513,19,19.4,18.6,18.9,23863
ABB,20200513,868.75,876.8,852,855.65,62961
ABBOTINDIA,20200513,18199.95,18298.65,17800,17876.45,9998
ABCAPITAL,20200513,45.3,45.7,43.4,44.15,2017803
ABFRL,20200513,108.2,111.7,105.6,107.3,1388772
ABSLBANETF,20200513,194,215,178.07,188.79,1311
ABSLNN50ET,20200513,250,250,235.25,240.02,180
ACC,20200513,1220,1257,1195.25,1207.95,3601199
ACCELYA,20200513,929.9,929.9,900.1,902.3,3160
ACE,20200513,44.9,45.75,43.4,44.6,288226
ADANIENT,20200513,145,145,140.75,141.15,3115040
ADANIGAS,20200513,108,109,105.4,106,1107531
ADANIGREEN,20200513,233,235.95,228,231,563566
ADANIPORTS,20200513,297,311.9,262.35,309.35,9560014
ADANIPOWER,20200513,31.75,32.75,29.9,31.85,16104643
ADANITRANS,20200513,199.85,201.25,193.8,200.2,128496
ADFFOODS,20200513,217.05,217.05,217.05,217.05,9117
ADHUNIKIND,20200513,18.6,18.6,18.6,18.6,20541
ADORWELD,20200513,252,252,244,246.35,4142
ADROITINFO,20200513,6,6.05,5.6,6,16004
ADSL,20200513,12.6,13.45,12.05,13.45,28405
ADVANIHOTR,20200513,39.5,39.5,37.3,38.15,9996
ADVENZYMES,20200513,145,153.65,140.5,144,262231
AEGISCHEM,20200513,174.5,175.95,166.3,170.1,151478
AFFLE,20200513,1370,1370,1314.95,1324.25,21147
AGARIND,20200513,62.25,63.95,58.05,60.5,8942
AGCNET,20200513,250,250,246,246.05,824
AGRITECH,20200513,32,32.1,31,32,8969
AGROPHOS,20200513,10.65,10.65,10.65,10.65,11555
AHLEAST,20200513,135.95,136,128.1,132.7,990
AHLUCONT,20200513,184.9,184.9,174.6,176.2,6447
AIAENG,20200513,1710,1710,1610.35,1672.4,189122
AIONJSW,20200513,11,11.55,10.85,11.05,18311
AIRAN,20200513,10.5,10.5,9.65,9.85,16286
AJANTPHARM,20200513,1461,1467,1419.7,1436.85,64804
AJMERA,20200513,83,84.8,80.6,83,125582
AKASH,20200513,84.55,88.75,84.55,85.15,146
AKSHARCHEM,20200513,189.1,222.4,189.1,216,231991
AKSHOPTFBR,20200513,4.6,4.75,4.4,4.75,164237
AKZOINDIA,20200513,1866,1887.55,1835,1858.15,7231
ALANKIT,20200513,17.1,17.1,16.25,16.75,95022
ALBERTDAVD,20200513,473.9,479.25,449.95,453.25,11427
ALCHEM,20200513,3,3,3,3,3205
ALEMBICLTD,20200513,48.6,49.1,47.55,48,95506
ALICON,20200513,229.8,229.85,216,226.7,2095
ALKALI,20200513,41,43,40.1,41.3,13753
ALKEM,20200513,2605,2610,2455.05,2487.05,247466
ALKYLAMINE,20200513,1799,1820,1750.05,1762.25,19256
ALLCARGO,20200513,68.7,69.5,68.05,69.5,92060
ALLSEC,20200513,157.7,169.7,157.7,167.9,320
ALMONDZ,20200513,11.5,11.5,10.45,11.05,1002
ALOKINDS,20200513,10.5,10.5,10.5,10.5,644858
ALPA,20200513,17.95,18.7,17.95,18.7,35507
ALPHAGEO,20200513,153,163.2,152.95,156.9,17314
ALPSINDUS,20200513,0.75,0.85,0.75,0.85,16420
AMARAJABAT,20200513,582,582,563.7,568.9,1570468
AMBER,20200513,1180,1180,1100,1114.7,105502
AMBIKCO,20200513,689,700,669.95,671.25,4107
AMBUJACEM,20200513,182.1,191,182,183,14928663
AMDIND,20200513,11.95,12.45,11.9,12,6755
AMJLAND,20200513,15.3,15.3,14.35,14.6,1692
AMRUTANJAN,20200513,349,355,339.05,341.25,45361
ANANTRAJ,20200513,15.65,15.65,14.9,15,333788
ANDHRACEMT,20200513,3.05,3.05,3.05,3.05,93343
ANDHRAPAP,20200513,182.6,182.6,172.25,173.95,4099
ANDHRSUGAR,20200513,226.8,226.8,207.6,211.55,61309
ANIKINDS,20200513,9.45,9.8,8.9,9.3,9573
ANKITMETAL,20200513,0.35,0.4,0.35,0.4,14602
ANSALAPI,20200513,5.4,5.7,5.25,5.4,34194
ANSALHSG,20200513,3.1,3.25,3,3.25,36887
ANUP,20200513,279.3,284,275.05,277.3,8545
APARINDS,20200513,292,307.5,285.1,303.4,39263
APCL,20200513,107,110.7,106,109.1,1817
APCOTEXIND,20200513,97.95,104.95,97.9,101.3,34754
APEX,20200513,194,195,186.15,190.1,331777
APLAPOLLO,20200513,1265,1269.95,1232.15,1247.05,48036
APLLTD,20200513,812,824,785,799.95,211613
APOLLO,20200513,75,75,70.65,71.3,50556
APOLLOHOSP,20200513,1334,1334,1258,1284.55,1508002
APOLLOPIPE,20200513,340,340.05,314,319,63254
APOLLOTYRE,20200513,96.5,96.5,92.15,94.4,7703437
APOLSINHOT,20200513,397,426,397,420.1,40
APTECHT,20200513,103.15,104.4,99.2,101.55,93519
ARCHIDPLY,20200513,18.8,19.65,18.05,18.95,28739
ARCHIES,20200513,11.3,11.55,11,11.1,26099
ARCOTECH,20200513,2,2,2,2,16011
ARENTERP,20200513,9.25,9.65,9.25,9.65,40
ARIES,20200513,55.9,56.9,55,55.95,35313
ARIHANT,20200513,15.9,15.9,14,14.5,4489
ARIHANTSUP,20200513,19.35,19.35,18.2,18.45,2364
ARMANFIN,20200513,345,345.15,325,344.35,27699
AROGRANITE,20200513,22.8,23.95,22.8,23.05,4132
ARROWGREEN,20200513,33,34,32.4,33.95,1526
ARSHIYA,20200513,11.5,11.6,10.85,10.85,12808
ARSSINFRA,20200513,12.4,12.4,11.8,11.85,9991
ARTEMISMED,20200513,159.9,159.9,151,151.3,1337
ARVIND,20200513,21.8,24,20.45,24,8543883
ARVINDFASN,20200513,136.9,136.9,132,133.1,26276
ARVSMART,20200513,65.9,66.5,62.4,65.7,36133
ASAHIINDIA,20200513,157.95,158.7,151.55,154.05,11913
ASAHISONG,20200513,102,105.65,100.4,104.2,6933
ASAL,20200513,13.9,14.45,13.55,14.15,15761
ASALCBR,20200513,192,199.5,187,189.55,77087
ASHAPURMIN,20200513,26.35,26.35,25.1,26,33653
ASHIANA,20200513,45.95,45.95,40.05,43.05,132158
ASHIMASYN,20200513,4,4.35,4,4.35,21708
ASHOKA,20200513,61,61.4,58,59.9,765753
ASHOKLEY,20200513,52,52,48.15,48.75,48002442
ASIANHOTNR,20200513,65,68.8,58.15,59.15,341254
ASIANPAINT,20200513,1579.8,1579.8,1533.35,1563.3,2940518
ASIANTILES,20200513,144,145,139,140.6,78329
ASPINWALL,20200513,111.95,111.95,105.75,105.95,462
ASTEC,20200513,589,589.9,565.6,570.2,72172
ASTERDM,20200513,96.9,97.3,94.95,95.2,611552
ASTRAL,20200513,915,920.65,867,894.25,114517
ASTRAMICRO,20200513,63.2,64.4,61.5,62,62345
ASTRAZEN,20200513,3100,3100,3022.3,3050.7,15345
ASTRON,20200513,28.5,28.95,27.85,28.75,12520
ATFL,20200513,554,554,491.7,519.2,63511
ATLANTA,20200513,6.9,6.9,6.9,6.9,37660
ATLASCYCLE,20200513,37.5,37.8,35.75,37.7,8968
ATUL,20200513,4690,4700,4550.5,4699.15,49520
ATULAUTO,20200513,169.8,169.8,157,161.45,76601
AUBANK,20200513,399.15,399.15,399.15,399.15,488294
AURIONPRO,20200513,42,44.95,39.25,43.3,13746
AUROPHARMA,20200513,700,701,668.45,675.9,6084261
AUSOMENT,20200513,26.5,26.5,25.6,25.65,104
AUTOAXLES,20200513,483.85,488.05,467.4,470.05,7019
AUTOIND,20200513,15.2,15.6,14.9,15.45,11471
AUTOLITIND,20200513,16,16.05,15.4,16.05,5336
AVADHSUGAR,20200513,132,133,128.5,132.45,15292
AVANTIFEED,20200513,415,415,394,401.3,445649
AVTNPL,20200513,33,34.55,32.2,34,215486
AXISBANK,20200513,411,416.45,399.6,414,48206377
AXISCADES,20200513,32.5,32.5,29.8,31.25,14814
AXISGOLD,20200513,4098.9,4098.9,4051,4085.6,725
AXISNIFTY,20200513,1132,1132,1132,1132,76
AYMSYNTEX,20200513,15.5,15.5,14.55,14.7,40428
