20MICRONS,20200108,33,33.4,32.3,32.7,25706
21STCENMGM,20200108,16.8,16.8,16.8,16.8,314
3IINFOTECH,20200108,2.2,2.7,2.15,2.7,12664631
3MINDIA,20200108,21499.95,21575.75,21161,21238.05,1952
3PLAND,20200108,6.2,6.2,6.2,6.2,118
5PAISA,20200108,200,203,195,195.95,18103
63MOONS,20200108,104.55,106.8,104.1,105.55,177732
A2ZINFRA,20200108,8,8.2,7.95,8,90583
AARTIDRUGS,20200108,570,575,561.75,565.1,7369
AARTIIND,20200108,889,889,875,880.7,143313
AARVEEDEN,20200108,13.95,14.2,13.6,13.95,2827
AAVAS,20200108,1975,1979,1928,1938.55,29296
ABAN,20200108,27.4,27.8,27,27.45,68328
ABB,20200108,1300,1318,1285.05,1310.7,16798
ABBOTINDIA,20200108,12700,12850.05,12575,12727.25,9286
ABCAPITAL,20200108,100.15,101.9,99.55,100.7,1345352
ABFRL,20200108,231.7,237.2,228.1,236.1,516533
ABSLBANETF,20200108,310.06,310.06,309.45,309.45,341
ABSLNN50ET,20200108,283.17,283.17,283.17,283.17,1
ACC,20200108,1435,1477,1435,1462.6,981496
ACCELYA,20200108,1049.9,1058.7,1033.25,1050.3,3337
ACE,20200108,79.6,81.75,78.5,79.35,164370
ADANIENT,20200108,201,203.55,194.55,201.5,5762654
ADANIGAS,20200108,167.3,173,165.8,168.25,2106347
ADANIGREEN,20200108,215.8,221.1,214.45,221.1,1181338
ADANIPORTS,20200108,379,387.6,378.25,385.65,4620991
ADANIPOWER,20200108,60.4,60.55,58,59.85,11149419
ADANITRANS,20200108,325.05,335,322,332.2,249746
ADFFOODS,20200108,292,321.25,290.5,315.75,202346
ADHUNIKIND,20200108,42.8,43.2,40.75,42.25,24406
ADLABS,20200108,4.3,4.3,4,4.15,33802
ADORWELD,20200108,296.15,301.4,295.7,299.95,734
ADROITINFO,20200108,6.7,6.7,6.4,6.4,36
ADSL,20200108,19.25,20,19.25,19.6,17090
ADVANIHOTR,20200108,52.55,52.75,51.2,51.85,2133
ADVENZYMES,20200108,164,168.05,161.95,166.5,54964
AEGISCHEM,20200108,185,195,182.5,192.9,223590
AFFLE,20200108,1525.7,1555.95,1525,1531.95,46340
AGARIND,20200108,104,109.9,99.75,99.8,30952
AGCNET,20200108,148.6,151.4,143.4,150,8831
AGRITECH,20200108,44.95,45,43.1,43.4,7656
AGROPHOS,20200108,55.85,55.85,55.85,55.85,3456
AHLEAST,20200108,167.3,172.6,167.25,168.3,1384
AHLUCONT,20200108,293.75,298.75,290.05,296.35,3584
AHLWEST,20200108,355,368.55,353.05,360,2567
AIAENG,20200108,1640.6,1717,1625,1640.65,32439
AIONJSW,20200108,16.1,16.5,16.1,16.1,277076
AIRAN,20200108,13.05,13.7,13,13.45,6833
AJANTPHARM,20200108,1006.5,1026.95,995,1022.05,132948
AJMERA,20200108,122.45,124.35,121.95,122.95,46089
AKASH,20200108,73,79.7,66.55,71.95,8660
AKSHARCHEM,20200108,234,258,221.2,239.85,28348
AKSHOPTFBR,20200108,6.65,7,6.45,6.85,224838
AKZOINDIA,20200108,1979.75,1979.75,1935,1965.9,6720
ALANKIT,20200108,12.85,13.35,12.3,13.35,162564
ALBERTDAVD,20200108,403,416.5,403,410.55,6812
ALBK,20200108,18.05,18.35,17.9,18.1,1013775
ALCHEM,20200108,1.1,1.1,1.1,1.1,21139
ALEMBICLTD,20200108,56.05,58.3,55.6,56,161866
ALICON,20200108,390,399.9,386.2,396.8,1877
ALKALI,20200108,41.5,41.55,40.55,41.3,3738
ALKEM,20200108,2106.9,2125.5,2069.9,2124.05,101795
ALKYLAMINE,20200108,1228,1250,1210,1234.95,32842
ALLCARGO,20200108,97.15,99.45,97.05,97.25,56300
ALLSEC,20200108,293.25,293.25,285,286.1,703
ALMONDZ,20200108,11.95,11.95,11.75,11.95,609
ALOKTEXT,20200108,2.9,3,2.9,2.95,1286424
ALPA,20200108,16,16.45,15.6,15.7,21213
ALPHAGEO,20200108,188.1,193,184.3,185.85,7557
ALPSINDUS,20200108,1.9,1.9,1.9,1.9,3829
AMARAJABAT,20200108,718,729.2,713.25,720.35,477621
AMBER,20200108,1152,1230,1148.4,1186.3,149986
AMBIKCO,20200108,834,841,834,839.9,1726
AMBUJACEM,20200108,196,204.6,195.65,201.65,4943334
AMDIND,20200108,16,16,14.8,15.35,4648
AMJLAND,20200108,21.25,22.5,21.25,21.8,11453
AMRUTANJAN,20200108,424,428.45,416.35,423.5,17156
ANANTRAJ,20200108,33.9,34.85,33.35,34.55,174735
ANDHRABANK,20200108,16.1,16.25,16.05,16.15,646965
ANDHRACEMT,20200108,2.1,2.15,2,2.05,202774
ANDHRSUGAR,20200108,304,312,300,310.3,40301
ANIKINDS,20200108,8.3,8.3,7.95,7.95,1244
ANKITMETAL,20200108,0.5,0.55,0.5,0.55,7415
ANSALAPI,20200108,5,5.2,4.9,4.95,28410
ANSALHSG,20200108,5.15,5.5,5.15,5.2,20716
ANTGRAPHIC,20200108,0.55,0.6,0.55,0.6,9031
ANUP,20200108,480.05,499,470.65,481.75,16402
APARINDS,20200108,391,397.05,385,392.9,11665
APCL,20200108,149.35,163.85,144.9,154.75,17894
APCOTEXIND,20200108,153.6,158.7,153.5,157.7,10744
APEX,20200108,392.5,416.7,392.5,405.65,1096539
APLAPOLLO,20200108,1800,1850,1795.55,1832.5,16382
APLLTD,20200108,550,564.8,547.85,553.35,52480
APOLLO,20200108,71.55,75.05,71.55,73.85,24115
APOLLOHOSP,20200108,1464,1479.6,1458,1473.65,190163
APOLLOPIPE,20200108,348.2,353,343.5,350.1,11036
APOLLOTYRE,20200108,159.8,162.85,159,162.4,1664694
APOLSINHOT,20200108,750,750,680,694.8,1400
APTECHT,20200108,154,164.9,153.5,163.6,414434
ARCHIDPLY,20200108,26.5,30.3,26.5,29,27166
ARCHIES,20200108,17.7,17.7,17.3,17.4,28999
ARCOTECH,20200108,2.25,2.35,2.25,2.3,6738
ARIES,20200108,66.35,67.4,65.7,66.3,18459
ARIHANT,20200108,20,20.8,19.6,20.1,861
ARIHANTSUP,20200108,28.8,28.8,27.15,27.5,99020
ARMANFIN,20200108,685,726,681.2,717.95,8980
AROGRANITE,20200108,40.95,42,33.95,39.8,91509
ARROWGREEN,20200108,46.25,48.8,46.25,47.35,2081
ARROWTEX,20200108,10.15,10.15,9.55,9.75,3245
ARSHIYA,20200108,17.3,17.3,15.65,15.95,25928
ARSSINFRA,20200108,21.5,21.6,20.45,20.6,46639
ARVIND,20200108,39.5,40.4,39.1,39.7,1132422
ARVINDFASN,20200108,381.1,402,381.1,400.2,10297
ARVSMART,20200108,86.05,86.95,84.5,85.9,3353
