20MICRONS,20200422,31.5,31.5,28.35,29.65,54137
21STCENMGM,20200422,10.8,11,10.8,11,546
3IINFOTECH,20200422,1.65,1.9,1.65,1.75,8308748
3MINDIA,20200422,19510,19649.95,18661,18719.5,10555
3PLAND,20200422,5.8,5.8,5.8,5.8,1406
5PAISA,20200422,142.3,150.25,135.65,147.85,7090
63MOONS,20200422,60,60.5,56.4,59.6,46027
A2ZINFRA,20200422,4.55,4.55,4.3,4.45,157454
AARTIDRUGS,20200422,651.6,668.95,650.95,662.25,33958
AARTIIND,20200422,915,934.5,903.5,910.6,125892
AARVEEDEN,20200422,9.75,10.5,9.15,9.65,28586
AAVAS,20200422,1280,1289.65,1235.95,1235.95,11439
ABAN,20200422,22.45,22.45,22.45,22.45,20063
ABB,20200422,900.85,921.8,887.05,908.05,158811
ABBOTINDIA,20200422,16545.1,16799,16250,16467,24410
ABCAPITAL,20200422,49.6,50.2,48.4,49.5,1098050
ABFRL,20200422,127.75,131.95,121.2,121.95,1927087
ABMINTLTD,20200422,13.45,13.45,13.45,13.45,500
ABSLNN50ET,20200422,216,227.93,216,216.2,347
ACC,20200422,1155.15,1244,1120,1229.55,4910652
ACCELYA,20200422,900.15,908.15,900.15,907.2,4041
ACE,20200422,47.5,48,43,45.95,144885
ADANIENT,20200422,136,138.8,132.1,137.6,6012163
ADANIGAS,20200422,98.5,99.5,96.2,98,1431276
ADANIGREEN,20200422,191.2,198,184.75,197.2,568003
ADANIPORTS,20200422,260,273.85,258.5,271.9,3229099
ADANIPOWER,20200422,31,33,29.6,32.4,16728395
ADANITRANS,20200422,199,201,190,199.2,139976
ADFFOODS,20200422,202.1,209.9,198.5,207.6,10561
ADHUNIKIND,20200422,16.6,16.6,16.55,16.6,11558
ADORWELD,20200422,273,273,241.7,244.65,8772
ADROITINFO,20200422,5.35,5.7,5.35,5.7,2110
ADSL,20200422,14.7,14.75,13.55,14,24271
ADVANIHOTR,20200422,40.95,41,38.5,40.35,11184
